time,Fz,Cz,Pz,Oz,P3,P4,PO7,PO8
0.08203125,0.049253316092290333,0.040037630100187016,0.06306952826662382,0.10149754814392509,0.08619687719146896,0.07923014777588833,0.14444108842326386,0.14700701456149545
0.0859375,0.03505745738152655,0.028497929349668993,0.044891542927416594,0.07224377895909129,0.06135309149613022,0.0563943274300982,0.10281007689627586,0.10463644883884626
0.08984375,0.02071169724615629,0.016836374072681792,0.026521604468143778,0.04268111197802682,0.03624697342274885,0.03331736664335949,0.060739466789527796,0.061818468566343654
0.09375,0.008865689515857866,0.007206848895435769,0.011352634388117622,0.018269750157173803,0.015515601248239363,0.014261576808394238,0.02599966819616384,0.026461540514333137
0.09765625,0.0029296935988298856,0.0023815247551794982,0.003751511989946721,0.006037292887839385,0.005127176461172667,0.004712780388160809,0.008591667821633564,0.008744294177631673
0.1015625,0.006331990931585096,0.005147225312640558,0.008108199445189257,0.01304849295280519,0.011081444206695323,0.010185803311912878,0.018569302540072385,0.01889917555786269
0.10546875,0.02162503953684336,0.0175788237299912,0.027691152482134385,0.04456326152535439,0.0378453890448327,0.03478659493794112,0.06341795000253114,0.06454453682636085
0.109375,0.04969914613184301,0.040400042422561455,0.06364042093309763,0.10241627279583554,0.08697710995875241,0.07994731987537307,0.1457485296896266,0.14833769057531754
0.11328125,0.08933010064993141,0.07261572676497963,0.11438838498634141,0.18408478297260444,0.15633415273441642,0.143698699162087,0.26197093916380254,0.2666247098659369
0.1171875,0.13718718605559843,0.11151838208434128,0.1756700385158183,0.282705087784052,0.24008753030102525,0.22068284977194708,0.4023174255962658,0.4094644054930541
0.12109375,0.18829996406566352,0.15306754619359708,0.241120631017111,0.3880344650042389,0.3295386079571472,0.3029041693025647,0.5522115884559753,0.5620213414658792
0.125,0.23686612848905497,0.19254659378020733,0.3033102586869063,0.48811597253006767,0.4145329057791969,0.38102893995528575,0.6946375492589141,0.7069774028423126
0.12890625,0.2772071354684158,0.22533947685587918,0.35496742611940135,0.5712476536245958,0.485132602534577,0.44592249537345197,0.8129421757985256,0.8273837011074647
0.1328125,0.30465446343441727,0.24765120087977266,0.390114109904971,0.6278090722844354,0.5331673946784576,0.49007502411768655,0.8934347306421841,0.9093061521525669
0.13671875,0.31618017715118185,0.2570203605500865,0.4048729635997006,0.6515604127343977,0.5533382818612154,0.5086155852040974,0.9272352485822921,0.9437071071261016
0.140625,0.3106586348167184,0.2525319473534182,0.39780255178811785,0.6401820655810297,0.5436751280285534,0.499733459946583,0.9110426617553458,0.9272268925997196
0.14453125,0.2887462358103221,0.23471952204090485,0.3697434181049175,0.5950266199761245,0.5053268523624865,0.46448462853732053,0.8467819725410664,0.8618246170044586
0.1484375,0.25246418999813613,0.20522614363471803,0.3232837855193793,0.5202592774367076,0.44183067871017556,0.40612039242660103,0.7403806989714212,0.7535331860708538
0.15234375,0.20463714633933705,0.1663479025637571,0.26204060077361646,0.4217008893192542,0.35812985288430355,0.32918455872277264,0.6001222914164828,0.6107831609369896
0.15625,0.1483570883920038,0.12059830112320924,0.1899732353649597,0.3057231765524193,0.2596356694084534,0.23865101184128434,0.4350744404746365,0.44280332645030285
