,block,rank,train_score,val_score,train_scores,val_scores,mse,F_tr,F_rt,dataset,subject,session
23,24,1,0.929610969387755,0.8770469387755103,"[[0.85868367 0.85791837 0.85803061 0.85886735]
 [0.88736735 0.88761224 0.8867449  0.88569388]
 [0.87909184 0.87872449 0.87839796 0.87839796]
 [0.88935714 0.88881633 0.88876531 0.88880612]
 [0.87073469 0.87037755 0.87095918 0.87156122]]","[[0.85868367 0.85791837 0.85803061 0.85886735]
 [0.88736735 0.88761224 0.8867449  0.88569388]
 [0.87909184 0.87872449 0.87839796 0.87839796]
 [0.88935714 0.88881633 0.88876531 0.88880612]
 [0.87073469 0.87037755 0.87095918 0.87156122]]",6.31378228388682e-11,0.0242507461536818,0.0005541195714727839,BNCI2014-008,7,0
24,25,1,0.9296653061224489,0.877073469387755,"[[0.85858163 0.85817347 0.85869388 0.85834694]
 [0.88736735 0.88758163 0.88564286 0.88488776]
 [0.87891837 0.87831633 0.87846939 0.87797959]
 [0.88968367 0.88894898 0.8887449  0.88744898]
 [0.87081633 0.87091837 0.87043878 0.87128571]]","[[0.85858163 0.85817347 0.85869388 0.85834694]
 [0.88736735 0.88758163 0.88564286 0.88488776]
 [0.87891837 0.87831633 0.87846939 0.87797959]
 [0.88968367 0.88894898 0.8887449  0.88744898]
 [0.87081633 0.87091837 0.87043878 0.87128571]]",6.311857164352269e-11,0.02425254405734562,0.0005541414904368535,BNCI2014-008,7,0
25,26,1,0.9296923469387757,0.8770877551020408,"[[0.85843878 0.85826531 0.8589898  0.85847959]
 [0.88738776 0.88719388 0.88647959 0.88433673]
 [0.87884694 0.87859184 0.87920408 0.8782551 ]
 [0.88988776 0.88854082 0.88892857 0.88815306]
 [0.87087755 0.87096939 0.87127551 0.87042857]]","[[0.85843878 0.85826531 0.8589898  0.85847959]
 [0.88738776 0.88719388 0.88647959 0.88433673]
 [0.87884694 0.87859184 0.87920408 0.8782551 ]
 [0.88988776 0.88854082 0.88892857 0.88815306]
 [0.87087755 0.87096939 0.87127551 0.87042857]]",6.309605896552178e-11,0.02425385719360969,0.0005541709657926168,BNCI2014-008,7,0
26,27,1,0.9297142857142859,0.8769959183673469,"[[0.8584898  0.85822449 0.85886735 0.85811224]
 [0.8872449  0.88727551 0.8867449  0.88439796]
 [0.87855102 0.87879592 0.87818367 0.87787755]
 [0.88987755 0.88866327 0.88882653 0.88861224]
 [0.87081633 0.87058163 0.8709898  0.87096939]]","[[0.8584898  0.85822449 0.85886735 0.85811224]
 [0.8872449  0.88727551 0.8867449  0.88439796]
 [0.87855102 0.87879592 0.87818367 0.87787755]
 [0.88987755 0.88866327 0.88882653 0.88861224]
 [0.87081633 0.87058163 0.8709898  0.87096939]]",6.30634530000997e-11,0.024255683564279016,0.0005541933545182951,BNCI2014-008,7,0
27,28,1,0.9297382653061224,0.8770102040816325,"[[0.85867347 0.85830612 0.85853061 0.85793878]
 [0.88703061 0.88710204 0.88703061 0.88471429]
 [0.87870408 0.87816327 0.87845918 0.87791837]
 [0.88979592 0.88993878 0.88947959 0.88876531]
 [0.87084694 0.8707551  0.8704898  0.87076531]]","[[0.85867347 0.85830612 0.85853061 0.85793878]
 [0.88703061 0.88710204 0.88703061 0.88471429]
 [0.87870408 0.87816327 0.87845918 0.87791837]
 [0.88979592 0.88993878 0.88947959 0.88876531]
 [0.87084694 0.8707551  0.8704898  0.87076531]]",6.303764900881637e-11,0.024256987458229063,0.0005542225402085716,BNCI2014-008,7,0
28,29,1,0.9297612244897959,0.8769836734693877,"[[0.85885714 0.85821429 0.85839796 0.85866327]
 [0.88685714 0.88684694 0.88677551 0.88427551]
 [0.87865306 0.87829592 0.87787755 0.87827551]
 [0.88977551 0.88972449 0.889      0.88886735]
 [0.87077551 0.87019388 0.87096939 0.87089796]]","[[0.85885714 0.85821429 0.85839796 0.85866327]
 [0.88685714 0.88684694 0.88677551 0.88427551]
 [0.87865306 0.87829592 0.87787755 0.87827551]
 [0.88977551 0.88972449 0.889      0.88886735]
 [0.87077551 0.87019388 0.87096939 0.87089796]]",6.299777873725067e-11,0.024258877619045983,0.0005542457699392235,BNCI2014-008,7,0
29,30,2,0.9297711734693876,0.8768387755102041,"[[0.85867347 0.85857143 0.85857143 0.85920408]
 [0.88668367 0.88682653 0.88584694 0.88409184]
 [0.87842857 0.87863265 0.87797959 0.87858163]
 [0.88963265 0.88938776 0.88820408 0.88837755]
 [0.87071429 0.87077551 0.86988776 0.87109184]]","[[0.85867347 0.85857143 0.85857143 0.85920408]
 [0.88668367 0.88682653 0.88584694 0.88409184]
 [0.87842857 0.87863265 0.87797959 0.87858163]
 [0.88963265 0.88938776 0.88820408 0.88837755]
 [0.87071429 0.87077551 0.86988776 0.87109184]]",6.279759461209756e-11,0.024259774313360915,0.0005543737586471139,BNCI2014-008,7,0
30,31,1,0.9297869897959183,0.876773469387755,"[[0.85864286 0.85847959 0.85846939 0.8572551 ]
 [0.88683673 0.88665306 0.88587755 0.885     ]
 [0.87854082 0.87868367 0.8779898  0.87835714]
 [0.88906122 0.88932653 0.88767347 0.88845918]
 [0.87078571 0.8705     0.87020408 0.87092857]]","[[0.85864286 0.85847959 0.85846939 0.8572551 ]
 [0.88683673 0.88665306 0.88587755 0.885     ]
 [0.87854082 0.87868367 0.8779898  0.87835714]
 [0.88906122 0.88932653 0.88767347 0.88845918]
 [0.87078571 0.8705     0.87020408 0.87092857]]",6.276090017698257e-11,0.024262890775477504,0.000554398923002505,BNCI2014-008,7,0
31,32,1,0.9297887755102042,0.8767857142857143,"[[0.85862245 0.858      0.85779592 0.85718367]
 [0.88672449 0.88691837 0.88644898 0.88593878]
 [0.8784898  0.87866327 0.8777449  0.8784898 ]
 [0.8892551  0.88880612 0.88857143 0.88920408]
 [0.87083673 0.87060204 0.87083673 0.87011224]]","[[0.85862245 0.858      0.85779592 0.85718367]
 [0.88672449 0.88691837 0.88644898 0.88593878]
 [0.8784898  0.87866327 0.8777449  0.8784898 ]
 [0.8892551  0.88880612 0.88857143 0.88920408]
 [0.87083673 0.87060204 0.87083673 0.87011224]]",6.274609576371636e-11,0.024264458119881604,0.0005544224347163806,BNCI2014-008,7,0
0,1,4,0.9605561224489796,0.9486020408163267,"[[0.92489796 0.9342551  0.94009184 0.94415306]
 [0.93655102 0.94507143 0.95173469 0.94787755]
 [0.93679592 0.9454898  0.95427551 0.95234694]
 [0.95385714 0.96065306 0.96330612 0.96210204]
 [0.93572449 0.93310204 0.93360204 0.92487755]]","[[0.92489796 0.9342551  0.94009184 0.94415306]
 [0.93655102 0.94507143 0.95173469 0.94787755]
 [0.93679592 0.9454898  0.95427551 0.95234694]
 [0.95385714 0.96065306 0.96330612 0.96210204]
 [0.93572449 0.93310204 0.93360204 0.92487755]]",3.278698057020764e-11,0.1281620363376102,0.0007383684162922199,BNCI2014-008,8,0
