,n_blocks,theta,test_score,test_mse
235,24,0.2,0.8625295918367346,0.9256372912020063
236,24,0.3,0.8602540816326532,0.9009244898958346
237,24,0.4,0.8555642857142857,0.8824835644075686
238,24,0.5,0.8505887755102041,0.8566251431629555
239,24,0.6,0.8468755102040817,0.83431379952158
240,24,0.7,0.8423438775510205,0.773601160728261
241,24,0.8,0.8403255102040816,0.7094913093500377
242,24,0.9,0.8356683673469387,0.534658465079247
243,25,0.0,0.858819387755102,0.9461941155455833
244,25,0.1,0.8635010204081632,0.9442244174766212
245,25,0.2,0.8625265306122449,0.9221007478372801
246,25,0.3,0.8606663265306123,0.8969288225416076
247,25,0.4,0.8560775510204082,0.877338848474513
248,25,0.5,0.8505142857142858,0.8524091083939487
249,25,0.6,0.8469918367346938,0.8305603062456575
250,25,0.7,0.8430122448979592,0.769030557883492
251,25,0.8,0.8414826530612245,0.7027842936703417
252,25,0.9,0.8371295918367346,0.5241414727717396
253,26,0.0,0.8587673469387755,0.9441718747538662
254,26,0.1,0.8636489795918367,0.9418220912588732
255,26,0.2,0.8627867346938775,0.9183953418410435
256,26,0.3,0.8606163265306123,0.8923774896793863
257,26,0.4,0.8561448979591837,0.8728445084057783
258,26,0.5,0.8504857142857143,0.8486388961322918
259,26,0.6,0.8471285714285715,0.8273270153194652
260,26,0.7,0.8432632653061225,0.7640954987074478
261,26,0.8,0.8420704081632653,0.6966717401894857
262,26,0.9,0.8381755102040817,0.5159104110357103
263,27,0.0,0.8589122448979591,0.9419446034577582
264,27,0.1,0.8634857142857143,0.9388353329270419
265,27,0.2,0.8626683673469386,0.915151939916188
266,27,0.3,0.8604275510204081,0.8876667780943919
267,27,0.4,0.8562,0.8678369612831013
268,27,0.5,0.8508336734693878,0.844670081150763
269,27,0.6,0.8471020408163266,0.8230442361215481
270,27,0.7,0.8435459183673469,0.7587693037479115
271,27,0.8,0.8425571428571429,0.6914009381283281
272,27,0.9,0.8390571428571428,0.507295519433464
273,28,0.0,0.8590846938775509,0.9398990050131024
274,28,0.1,0.8635908163265306,0.9361457405214877
275,28,0.2,0.8625989795918366,0.9115796745679834
276,28,0.3,0.8605122448979591,0.8838072473771519
277,28,0.4,0.8562969387755102,0.862485583193253
278,28,0.5,0.8512295918367346,0.840380996130755
279,28,0.6,0.8470612244897959,0.8196828442311741
280,28,0.7,0.8439051020408164,0.7536139234550882
281,28,0.8,0.8431326530612244,0.6862346736488762
282,28,0.9,0.8399795918367348,0.4990207572543202
283,29,0.0,0.8591326530612244,0.9379574709124858
284,29,0.1,0.8634765306122449,0.9334842647488774
285,29,0.2,0.8625479591836734,0.9076612621259125
286,29,0.3,0.860534693877551,0.8790289991137301
287,29,0.4,0.8567581632653061,0.8577115852733936
288,29,0.5,0.8514051020408162,0.8358870429615838
289,29,0.6,0.8470530612244899,0.8158079373920423
290,29,0.7,0.8438704081632652,0.7482234507305497
291,29,0.8,0.8435316326530613,0.6813297736180447
292,29,0.9,0.8408969387755102,0.4915791325893292
293,30,0.0,0.8591132653061224,0.9362054699791145
294,30,0.1,0.8635204081632653,0.9305480320239417
295,30,0.2,0.8624857142857143,0.90387709204393
296,30,0.3,0.860465306122449,0.8744207181022672
297,30,0.4,0.856961224489796,0.852970976333367
298,30,0.5,0.8514132653061225,0.8312282623719863
299,30,0.6,0.8470183673469387,0.8124884339443957
300,30,0.7,0.8441887755102041,0.7431447387713996
301,30,0.8,0.8436408163265305,0.6768256614090287
302,30,0.9,0.8418112244897958,0.48499408969393343
303,31,0.0,0.8592540816326532,0.9343460042774889
304,31,0.1,0.8635387755102041,0.9275610159444518
305,31,0.2,0.8624193877551021,0.8996808170411276
306,31,0.3,0.8607918367346938,0.8700643540904286
307,31,0.4,0.8572244897959184,0.848385136046741
308,31,0.5,0.8516387755102042,0.8274321396399384
309,31,0.6,0.8471979591836736,0.8086371320960188
310,31,0.7,0.8441969387755102,0.7385880853506148
311,31,0.8,0.8440785714285715,0.6714653176231274
312,31,0.9,0.8434081632653061,0.47719526827549
313,32,0.0,0.8592724489795918,0.9319692529832126
314,32,0.1,0.8634561224489795,0.9249778009375461
315,32,0.2,0.8620959183673469,0.8958706716490973
316,32,0.3,0.8609,0.8656444364527622
317,32,0.4,0.8571928571428572,0.842704496792195
318,32,0.5,0.8523030612244898,0.8231997368620331
319,32,0.6,0.8472520408163264,0.8048848230455874
320,32,0.7,0.8446448979591837,0.7335422581106013
321,32,0.8,0.8446102040816326,0.6661113864357333
322,32,0.9,0.8439612244897958,0.47080559172385616
