,index,block,rank,F_tr,F_rt,log_like,pseudo_R2,pseudo_R2_adj,aic,bic,mse,nmse,err_cross_corr,select,subject,session
23,3,4,"(4, 4)",2.622360821931514e-05,0.0004065728836350824,-8198.179387734895,-3.3322581590670515,-3.3550758941638854,16440.35877546979,16579.901251163763,4.748114810667658e-11,0.9706887047161429,0.0004222297097777453,False,3,0
24,4,5,"(1, 1)",2.6106431869827315e-05,0.0004120972165843035,-8239.662890653926,-3.3541797633023194,-3.3781611173626533,16525.325781307853,16671.211096806095,4.743986123895378e-11,0.9698446498069905,0.000431257665958379,False,3,0
25,5,6,"(4, 4)",2.0702331758813895e-05,0.00041902262308248856,-8455.533461085473,-3.468254729928894,-3.510144618021978,16989.066922170947,17236.437674537534,4.6756332047366906e-11,0.9558708077228342,0.0005087670686917776,False,3,0
26,6,7,"(1, 1)",2.0547128209201446e-05,0.0004276880321960118,-8499.545233560617,-3.491512376704189,-3.53471037984633,17079.090467121234,17332.80405929209,4.6724487599732265e-11,0.9552197904905334,0.000509212308510779,False,3,0
27,7,8,"(1, 1)",2.0553772540867606e-05,0.0004298146785317747,-8551.773141513628,-3.5191117703816372,-3.563672516554231,17185.546283027255,17445.602715002384,4.6706939140108495e-11,0.954861035653694,0.0005095027169425645,False,3,0
28,8,9,"(4, 4)",1.6756584187151863e-05,0.00043822671070179885,-8946.680117520895,-3.727797002549101,-3.7928584291896854,18007.36023504179,18368.902103885262,4.6349093102429006e-11,0.9475453509945426,0.0005500387181635422,False,3,0
29,9,10,"(2, 2)",1.6518573899503065e-05,0.0004417600139880762,-9034.538967440849,-3.7742252644119016,-3.8446041288703663,18191.077934881698,18577.991162942257,4.6168801969883375e-11,0.9438595394061342,0.00056085748577319,False,3,0
30,0,1,"(1, 1)",9.99289279030744e-05,0.00019976268539862214,-3639.3691163225044,-0.9231936509748722,-0.9236517723781537,7280.738232645009,7287.08107244928,7.48177742789109e-11,0.99734270835053,0.0011585864825620872,False,4,0
31,1,2,"(4, 4)",2.013826231046106e-05,0.00024112555514145743,-24306.877908233568,-11.844762862463574,-11.89697734564432,48647.755816467135,48755.58409313975,7.377204084894697e-11,0.9834027773474381,0.0005293408494678989,False,4,0
32,2,3,"(4, 4)",1.589735602359552e-05,0.0002643874876366745,-32795.77927458739,-16.330650578085127,-16.46793129557836,65657.55854917478,65866.87226271574,7.154242219124333e-11,0.9536813116650538,0.0004319170990368193,False,4,0
33,3,4,"(4, 4)",1.4558100858552157e-05,0.0002739159130568971,-33006.8882785263,-16.442209335403263,-16.64815349382128,66111.7765570526,66422.5757074619,7.098777598924337e-11,0.9462877163515014,0.0005572448425424097,False,4,0
34,4,5,"(1, 1)",1.4743767303082814e-05,0.00027882972576814894,-33365.33413452968,-16.63162699886372,-16.844107439920162,66830.66826905936,67147.81025927293,7.085746983608092e-11,0.9445506974016286,0.0005805330203703329,False,4,0
