,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
61,1,2,"(1, 1, 1)",0.0018975372697485073,0.03964726782963215,0.9409243434171062,0.940924343417106,BNCI2014-004,2,1train
62,2,3,"(3, 4, 4)",0.0019278890616054962,0.04993591544842036,0.9265616723232608,0.9265616723232606,BNCI2014-004,2,1train
63,3,4,"(3, 8, 8)",0.001612564428503876,0.0685022017844943,0.894516483770571,0.8945164837705708,BNCI2014-004,2,1train
64,4,5,"(3, 4, 4)",0.0017133040579352362,0.07374860872984136,0.8852594206875659,0.8852594206875657,BNCI2014-004,2,1train
65,5,6,"(1, 1, 1)",0.0018063517148690822,0.1109517964813207,0.8841415979189509,0.8841415979189506,BNCI2014-004,2,1train
66,6,7,"(2, 2, 2)",0.0018635091772074906,0.14096819050817622,0.880764199402505,0.8807641994025048,BNCI2014-004,2,1train
67,7,8,"(2, 2, 2)",0.0019173501304949353,0.17537224113605335,0.8765146132552009,0.8765146132552006,BNCI2014-004,2,1train
68,8,9,"(3, 16, 32)",0.0008467236867791021,0.9083821619593818,0.6971958025533127,0.6971958025533126,BNCI2014-004,2,1train
69,9,10,"(1, 1, 1)",0.0008520900545120032,0.9465332340783393,0.6962640506778638,0.6962640506778637,BNCI2014-004,2,1train
70,0,1,"(1, 1, 1)",0.006517003422172543,0.012871081758790771,0.9976108920340226,0.9976108920340226,BNCI2014-004,2,2train
71,1,2,"(3, 4, 4)",0.0026218930225830974,0.02652240681530132,0.9774925038259564,0.9774925038259564,BNCI2014-004,2,2train
72,2,3,"(3, 4, 4)",0.0026007312559538976,0.03367650726544859,0.9638227785241045,0.9638227785241045,BNCI2014-004,2,2train
73,3,4,"(1, 1, 1)",0.002929834257058407,0.03618435569534153,0.9609927951421189,0.9609927951421189,BNCI2014-004,2,2train
74,4,5,"(3, 8, 8)",0.0020564588896367173,0.0505238079602977,0.9378958848954891,0.9378958848954891,BNCI2014-004,2,2train
75,5,6,"(3, 8, 8)",0.001694078924790498,0.05507239738566312,0.9118693839401157,0.9118693839401157,BNCI2014-004,2,2train
76,6,7,"(3, 8, 8)",0.0014374001092194923,0.06883540260113406,0.8899917084219718,0.8899917084219718,BNCI2014-004,2,2train
77,7,8,"(1, 1, 1)",0.0014784490437282577,0.07574814934805844,0.8888220561671966,0.8888220561671966,BNCI2014-004,2,2train
78,8,9,"(3, 8, 8)",0.00130083168743117,0.09079733593123479,0.8733912616638666,0.8733912616638666,BNCI2014-004,2,2train
79,9,10,"(3, 4, 4)",0.0012992011089506014,0.09455010566590054,0.8664528665992213,0.8664528665992213,BNCI2014-004,2,2train
80,0,1,"(3, 4, 4)",0.003044068116944203,0.012409598246544003,0.9751022916848736,0.9751022916848734,BNCI2014-004,2,3test
81,1,2,"(2, 2, 2)",0.0035014497862334674,0.03798776981608659,0.9694844961085448,0.9694844961085446,BNCI2014-004,2,3test
82,2,3,"(3, 16, 72)",7.467015576628296e-05,0.5103683311904396,3.670993510615179e-30,3.6709935106151784e-30,BNCI2014-004,2,3test
83,3,4,"(2, 2, 2)",7.467015576628298e-05,0.5115139859914347,3.641390870922984e-30,3.6413908709229835e-30,BNCI2014-004,2,3test
84,4,5,"(1, 1, 1)",7.467015576628296e-05,0.511657191797343,3.635829793341197e-30,3.635829793341196e-30,BNCI2014-004,2,3test
85,5,6,"(1, 1, 1)",7.467015576628296e-05,0.5118003973717863,3.629817435949862e-30,3.6298174359498614e-30,BNCI2014-004,2,3test
86,6,7,"(2, 2, 2)",7.467015576628298e-05,0.5129460336554275,3.615516400145804e-30,3.6155164001458035e-30,BNCI2014-004,2,3test
87,7,8,"(1, 1, 1)",7.467015576628296e-05,0.5130892371544948,3.6106097295138126e-30,3.610609729513812e-30,BNCI2014-004,2,3test
88,8,9,"(1, 1, 1)",7.467015576628298e-05,0.5132324404238314,3.607981143151682e-30,3.6079811431516815e-30,BNCI2014-004,2,3test
89,9,10,"(1, 1, 1)",7.467015576628298e-05,0.5133756434636088,3.602883671718445e-30,3.6028836717184446e-30,BNCI2014-004,2,3test
90,0,1,"(3, 16, 16)",0.00030732473767426834,0.026811396399836932,0.88823401893256,0.8882340189325598,BNCI2014-004,2,4test
91,1,2,"(2, 2, 2)",0.0003256201922825712,0.039194609163622024,0.8845193467989297,0.8845193467989295,BNCI2014-004,2,4test
92,2,3,"(1, 1, 1)",0.00033978308654315515,0.04782835246232787,0.8837292321239483,0.883729232123948,BNCI2014-004,2,4test
93,3,4,"(3, 4, 4)",0.00036436799114934645,0.06313772080051006,0.8726395274081379,0.8726395274081377,BNCI2014-004,2,4test
94,4,5,"(3, 4, 4)",0.0003962795693650531,0.07971559462193259,0.8599739890012754,0.8599739890012752,BNCI2014-004,2,4test
95,5,6,"(2, 2, 2)",0.00041103399204531226,0.09028654403289645,0.8566726575132055,0.8566726575132053,BNCI2014-004,2,4test
96,6,7,"(3, 4, 4)",0.00042733808693089535,0.10209976183001974,0.848057464461969,0.8480574644619687,BNCI2014-004,2,4test
97,7,8,"(2, 2, 2)",0.00043917513449932724,0.10313745388232974,0.8453921034392481,0.8453921034392479,BNCI2014-004,2,4test
98,8,9,"(2, 2, 2)",0.00044882945728484674,0.1050276503535993,0.8435461530185174,0.8435461530185172,BNCI2014-004,2,4test
99,9,10,"(1, 1, 1)",0.0004585198345023153,0.1061197889149394,0.8425975633009254,0.8425975633009252,BNCI2014-004,2,4test
100,0,1,"(1, 1, 1)",0.009665469086920163,0.01900875587094299,0.9906384893166829,0.990638489316683,BNCI2014-004,3,0train
101,1,2,"(2, 2, 2)",0.005600474099972621,0.024818800058780805,0.9744772648029335,0.9744772648029336,BNCI2014-004,3,0train
102,2,3,"(3, 16, 64)",0.00011826465118431223,0.4144388324340855,0.3249987722106634,0.3249987722106635,BNCI2014-004,3,0train
103,3,4,"(1, 1, 1)",0.00011952707234152456,0.4177811158814179,0.3231401507600355,0.32314015076003555,BNCI2014-004,3,0train
104,4,5,"(3, 16, 32)",0.00012078705066388,0.606580754839403,0.2272644892115412,0.22726448921154122,BNCI2014-004,3,0train
105,5,6,"(3, 16, 32)",0.0001216774960398429,0.7966830509609846,0.1686396638494193,0.16863966384941934,BNCI2014-004,3,0train
