,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
55,2,0,1,False,8,128,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8349520127496769,0.7732287285668068,0.7508319345054038
56,2,0,1,False,8,128,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8332828909993113,0.7952442575218376,0.7754316733908571
57,2,0,1,False,8,128,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8308224173291481,0.809542162483339,0.7745482031196318
58,2,0,1,False,8,128,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8465940455228602,0.7612532318414671,0.779466187629453
59,2,0,1,False,8,128,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8305151843599279,0.7428658605129195,0.7612372510331694
60,2,0,2,False,8,192,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8547914351933317,0.7902620511161437,0.7745776521286725
61,2,0,2,False,8,192,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8477167721598536,0.8022484632804917,0.7746856318284889
62,2,0,2,False,8,192,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.851616549078704,0.8317515376338906,0.7986374925150435
63,2,0,2,False,8,192,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8605827151738838,0.7620722326604679,0.7863670720813578
64,2,0,2,False,8,192,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8507160039164648,0.7544282250164601,0.7766194500888378
65,2,0,3,False,8,256,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8608897625523485,0.7933840181171142,0.784413621148315
66,2,0,3,False,8,256,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8548678528156375,0.8047557424781624,0.775814510508388
67,2,0,3,False,8,256,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8648215228279131,0.8341603635721283,0.8006596578025149
68,2,0,3,False,8,256,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8705420999826741,0.7763485410544234,0.7952214074663055
69,2,0,3,False,8,256,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=8)",0.8595653207512199,0.765717589247001,0.7851203973652954
70,2,0,4,False,1,257,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8666954908575365,0.7950177935943061,0.7932875892059565
71,2,0,4,False,1,257,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8641033246693179,0.8169362665803946,0.780015902464882
72,2,0,4,False,1,257,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.869383680590532,0.8325544796133032,0.8034671299977422
73,2,0,4,False,1,257,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8735570123658752,0.775433187197893,0.7908040561101786
74,2,0,4,False,1,257,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8698601435231261,0.7793354852178381,0.7887229928046254
75,2,0,5,False,2,261,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8741834123484844,0.8025396311873181,0.7997860038676365
76,2,0,5,False,2,261,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.8693278768469688,0.8206890973794888,0.7811153321357402
