,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
95,15,16,"(4, 4)",3.960328364114357e-06,0.00039616845313706364,3.359863565208025e-11,0.7484143637587611,BNCI2014-008,5,0
96,16,17,"(4, 4)",3.962056776359006e-06,0.000398460697497955,3.346862889355778e-11,0.7455184448151623,BNCI2014-008,5,0
97,17,18,"(2, 2)",3.963881874874378e-06,0.00039867166943439466,3.337171580393152e-11,0.7433596920293765,BNCI2014-008,5,0
98,18,19,"(1, 1)",3.964923181090381e-06,0.0004002478404297516,3.332206977149106e-11,0.742253819631258,BNCI2014-008,5,0
99,19,20,"(2, 2)",3.96648914386339e-06,0.0004022055766414783,3.321612752306067e-11,0.7398939410553763,BNCI2014-008,5,0
100,0,1,"(1, 1)",0.0001387020665469762,0.0002772720358877171,5.0953832069356346e-11,0.9957076336967352,BNCI2014-008,6,0
101,1,2,"(8, 8)",7.948905931774509e-06,0.00037835203936900967,4.6095735502936845e-11,0.9007737761247369,BNCI2014-008,6,0
102,2,3,"(4, 4)",8.136352379130488e-06,0.0004286693023778277,4.582201828162938e-11,0.8954249669054591,BNCI2014-008,6,0
103,3,4,"(8, 8)",7.634904129695787e-06,0.00044909284035075415,4.4069847143097695e-11,0.861185144161522,BNCI2014-008,6,0
104,4,5,"(4, 4)",7.628887163671647e-06,0.0004655446679232525,4.3915138311853805e-11,0.8581619218048568,BNCI2014-008,6,0
105,5,6,"(2, 2)",7.637258345503556e-06,0.000479250594002171,4.3835007723387754e-11,0.8565960604086098,BNCI2014-008,6,0
106,6,7,"(1, 1)",7.646027062020254e-06,0.00047945954821916376,4.3799112155891245e-11,0.8558946118792137,BNCI2014-008,6,0
107,7,8,"(8, 8)",7.389195908606497e-06,0.00048469854437176044,4.236408399922579e-11,0.8278521971651127,BNCI2014-008,6,0
108,8,9,"(8, 8)",7.1362101893813435e-06,0.0004899261838728868,4.0421550146201075e-11,0.7898924263761701,BNCI2014-008,6,0
109,9,10,"(4, 4)",7.127110697282061e-06,0.0004925986910700162,3.998814333088157e-11,0.7814230638771452,BNCI2014-008,6,0
110,10,11,"(2, 2)",7.130420012507376e-06,0.0004986152292889212,3.9874209700489294e-11,0.7791966447657827,BNCI2014-008,6,0
111,11,12,"(4, 4)",7.129715545864871e-06,0.000500014466559673,3.962867020372562e-11,0.7743984668589892,BNCI2014-008,6,0
112,12,13,"(4, 4)",7.129314117403205e-06,0.0005015042317463283,3.943831002024731e-11,0.7706785682734762,BNCI2014-008,6,0
113,13,14,"(4, 4)",7.129639674013821e-06,0.0005019988756572531,3.9306556503339196e-11,0.7681039241844265,BNCI2014-008,6,0
114,14,15,"(8, 8)",6.8965759146790365e-06,0.0005075003588046965,3.790178133156241e-11,0.7406526942109504,BNCI2014-008,6,0
115,15,16,"(8, 8)",6.74354461737251e-06,0.0005115818693713537,3.5938542668691365e-11,0.7022883230930242,BNCI2014-008,6,0
116,16,17,"(4, 4)",6.740977217174865e-06,0.0005123483667018044,3.5704245823354325e-11,0.6977098419861351,BNCI2014-008,6,0
117,17,18,"(4, 4)",6.739017124320404e-06,0.0005161790049972885,3.543996514898362e-11,0.6925454358124983,BNCI2014-008,6,0
118,18,19,"(2, 2)",6.739956254866368e-06,0.0005169285690071506,3.538229536117162e-11,0.6914184892095436,BNCI2014-008,6,0
119,19,20,"(4, 4)",6.739099056493353e-06,0.0005174786490163613,3.520690100070044e-11,0.6879910432935861,BNCI2014-008,6,0
120,0,1,"(1, 1)",0.0001336467345174346,0.00026716618643056694,1.536600002396924e-10,0.9956481194052733,BNCI2014-008,7,0
121,1,2,"(8, 8)",5.810472051825857e-06,0.00041970648089818943,1.4090767813851325e-10,0.913018772156258,BNCI2014-008,7,0
122,2,3,"(8, 8)",5.160572462444994e-06,0.00043911299345243384,1.354690746197023e-10,0.8777790522730853,BNCI2014-008,7,0
123,3,4,"(4, 4)",5.226863067140323e-06,0.0004449334961936,1.3487305781572361e-10,0.8739171297877953,BNCI2014-008,7,0
124,4,5,"(4, 4)",5.265537230974027e-06,0.00044927595305745084,1.343257942576056e-10,0.8703711065442102,BNCI2014-008,7,0
125,5,6,"(1, 1)",5.282045775328595e-06,0.0004503767852152281,1.3420067065489742e-10,0.8695603615257586,BNCI2014-008,7,0
126,6,7,"(8, 8)",5.015080036679277e-06,0.00045775475208949257,1.2754561897073618e-10,0.8264386012527918,BNCI2014-008,7,0
127,7,8,"(8, 8)",5.032618244860015e-06,0.0004623669667953501,1.2336891453179174e-10,0.7993754233700646,BNCI2014-008,7,0
128,8,9,"(4, 4)",5.060614156349093e-06,0.00046904384901483076,1.2240879917285165e-10,0.7931543049915037,BNCI2014-008,7,0
129,9,10,"(4, 4)",5.11630773812624e-06,0.0004719516661549906,1.2135368067381078e-10,0.7863176087290994,BNCI2014-008,7,0
130,10,11,"(4, 4)",5.159929255107046e-06,0.00047325562064772414,1.2088471174767924e-10,0.7832788997050592,BNCI2014-008,7,0
131,11,12,"(4, 4)",5.195326200032089e-06,0.00047524154880111973,1.202994565104857e-10,0.7794867073623879,BNCI2014-008,7,0
132,12,13,"(4, 4)",5.220777297459395e-06,0.0004761263252107706,1.19726583355079e-10,0.7757747453752166,BNCI2014-008,7,0
133,13,14,"(1, 1)",5.242842946020638e-06,0.0004761769972288,1.1948207949412676e-10,0.7741904696433106,BNCI2014-008,7,0
134,14,15,"(2, 2)",5.267031224680341e-06,0.00047627902818445507,1.1924969542977705e-10,0.7726847247761452,BNCI2014-008,7,0
135,15,16,"(2, 2)",5.28181743655741e-06,0.00047637745269739535,1.1898569387421804e-10,0.7709741126981655,BNCI2014-008,7,0
136,16,17,"(1, 1)",5.305965349374594e-06,0.00047640593313687696,1.1883950822416876e-10,0.7700268950271479,BNCI2014-008,7,0
137,17,18,"(2, 2)",5.3282110010166345e-06,0.00047760428834402895,1.1871450032585773e-10,0.7692168997214728,BNCI2014-008,7,0
138,18,19,"(2, 2)",5.350749946877574e-06,0.0004778326038071323,1.1861356419134829e-10,0.7685628786857602,BNCI2014-008,7,0
