,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
48,2,"(1, 1)",2,66,25,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8665038265306122,0.7935408163265306,BNCI2014-008,1,0
49,2,"(2, 2)",2,69,25,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8667283163265306,0.792561224489796,BNCI2014-008,1,0
50,2,"(4, 4)",2,81,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8676122448979592,0.7909489795918367,BNCI2014-008,1,0
51,2,"(8, 8)",2,129,45,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8755369897959184,0.8025102040816326,BNCI2014-008,1,0
52,2,"(1, 1)",3,66,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8682895408163267,0.8174897959183673,BNCI2014-008,1,0
53,2,"(2, 2)",3,69,28,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8677066326530611,0.8180204081632653,BNCI2014-008,1,0
54,2,"(4, 4)",3,81,32,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8675746173469387,0.8184795918367347,BNCI2014-008,1,0
55,2,"(8, 8)",3,129,54,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8730522959183674,0.8258469387755103,BNCI2014-008,1,0
56,2,"(1, 1)",4,66,35,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8652614795918367,0.8063469387755103,BNCI2014-008,1,0
57,2,"(2, 2)",4,69,35,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8652474489795918,0.8035102040816328,BNCI2014-008,1,0
58,2,"(4, 4)",4,81,37,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8658654336734694,0.8027142857142857,BNCI2014-008,1,0
59,2,"(8, 8)",4,129,57,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.868720663265306,0.8078877551020408,BNCI2014-008,1,0
60,3,"(1, 1)",0,130,56,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8669036989795917,0.8444795918367347,BNCI2014-008,1,0
61,3,"(2, 2)",0,133,59,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8673839285714287,0.8450102040816326,BNCI2014-008,1,0
62,3,"(4, 4)",0,145,64,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8675809948979591,0.8439081632653062,BNCI2014-008,1,0
63,3,"(8, 8)",0,193,80,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8717238520408163,0.8469285714285715,BNCI2014-008,1,0
64,3,"(1, 1)",1,130,46,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8700261479591836,0.8407142857142856,BNCI2014-008,1,0
65,3,"(2, 2)",1,133,46,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8695707908163266,0.8433775510204081,BNCI2014-008,1,0
66,3,"(4, 4)",1,145,50,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8700325255102042,0.842734693877551,BNCI2014-008,1,0
67,3,"(8, 8)",1,193,69,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8764789540816327,0.8464387755102041,BNCI2014-008,1,0
68,3,"(1, 1)",2,130,46,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8760854591836734,0.8020714285714288,BNCI2014-008,1,0
69,3,"(2, 2)",2,133,47,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8760586734693878,0.802265306122449,BNCI2014-008,1,0
70,3,"(4, 4)",2,145,49,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8764770408163266,0.8003367346938773,BNCI2014-008,1,0
71,3,"(8, 8)",2,193,71,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.880780612244898,0.8075510204081633,BNCI2014-008,1,0
72,3,"(1, 1)",3,130,55,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8738762755102041,0.825,BNCI2014-008,1,0
73,3,"(2, 2)",3,133,57,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.873670918367347,0.8255102040816327,BNCI2014-008,1,0
